,prime,target,target.RT,target_freq,bin,bin_index,mean_freq
149,almanac,devil,589.9333333333333,19.952623149688787,"(17.78279410038923, 23.9883291901949]",q6,20.885561645292064
150,almanac,map,650.3103448275862,57.543993733715666,"(56.23413251903491, 70.79457843841374]",q11,63.514355478724326
151,alone,lonely,656.6060606060606,17.78279410038923,"(13.182567385564074, 17.78279410038923]",q5,15.482680742976651
152,alone,movement,725.7575757575758,93.32543007969905,"(87.09635899560814, 112.2018454301963]",q13,99.64910221290222
153,alphabet,kids,606.84375,190.54607179632484,"(144.5439770745928, 199.52623149688787]",q15,172.03510428574032
154,alphabet,letters,786.9677419354839,45.708818961487516,"(37.15352290971728, 46.77351412871981]",q9,41.963518519218546
155,alter,change,606.6774193548387,346.73685045253166,"(295.1209226666384, 18620.871366628657]",q17,9457.996144647648
156,alter,deer,641.9032258064516,13.182567385564074,"(10.0, 13.182567385564074]",q4,11.591283692782037
157,alto,ground,662.875,141.25375446227554,"(112.2018454301963, 144.5439770745928]",q14,128.37291125239454
158,alto,soprano,672.9230769230769,2.0417379446695296,"(0.0, 2.7542287033381663]",q0,1.3771143516690831
159,always,forever,612.8484848484849,54.954087385762485,"(46.77351412871981, 56.23413251903491]",q10,51.503823323877356
