Unnamed: 0,prime,target,target.RT,avg_neigh_cos
206,annual,stream,650.5862068965517,0.4105263157894737
207,another,more,594.4285714285714,0.6263157894736843
208,another,silly,589.2903225806451,0.6263157894736843
209,anteater,ant,705.78125,0.6215789473684211
210,anteater,ring,726.9354838709677,0.6215789473684211
211,antelope,awake,661.0909090909091,0.5389473684210526
212,antelope,beast,653.40625,0.5389473684210526
213,antidote,cure,670.5483870967741,0.4173684210526316
214,antidote,dam,949.8125,0.4173684210526316
215,antique,face,609.0645161290323,0.4705263157894737
216,antique,furniture,697.1666666666666,0.4705263157894737
217,antler,excuse,851.7741935483871,0.42947368421052634
218,antler,horn,624.1034482758621,0.42947368421052634
221,anxiety,goo,1210.125,0.5184210526315789
222,anxiety,nervous,707.5151515151515,0.5184210526315789
223,apart,alone,613.5333333333333,0.4126315789473684
224,apart,mix,619.3333333333334,0.4126315789473684
225,apathetic,liar,609.1290322580645,0.42894736842105263
226,apathetic,sympathetic,760.0666666666667,0.42894736842105263
227,apathy,science,654.8125,0.46421052631578946
228,apathy,sympathy,727.9677419354839,0.46421052631578946
229,ape,all,680.5666666666667,0.43052631578947365
230,ape,jungle,612.75,0.43052631578947365
231,apology,mistake,696.71875,0.4410526315789474
232,apology,win,699.28125,0.4410526315789474
233,appeal,crooked,813.9642857142857,0.42000000000000004
234,appeal,looks,577.9677419354839,0.42000000000000004
235,appear,show,582.8064516129032,0.4005263157894737
236,appear,whale,628.7931034482758,0.4005263157894737
237,appearance,line,653.0384615384615,0.39842105263157895
238,appearance,looks,636.1935483870968,0.39842105263157895
239,appendage,finger,688.9354838709677,0.4247368421052632
240,appendage,leg,609.1333333333333,0.4247368421052632
241,apple,exercise,709.1333333333333,0.45368421052631586
242,apple,red,568.8333333333334,0.45368421052631586
243,appliance,bacon,613.0,0.3805263157894737
244,appliance,stove,670.7586206896551,0.3805263157894737
245,application,college,716.7,0.3468421052631579
246,application,mist,716.2758620689655,0.3468421052631579
247,appraise,empty,746.9354838709677,0.38736842105263153
248,appraise,value,681.6666666666666,0.38736842105263153
249,approval,pavement,837.7931034482758,0.38
250,approval,yes,554.1935483870968,0.38
251,apron,maid,677.3793103448276,0.43210526315789477
252,apron,tense,681.0714285714286,0.43210526315789477
253,architect,building,663.28125,0.43631578947368416
254,architect,eye,565.6,0.43631578947368416
255,arena,football,621.4333333333333,0.3863157894736842
256,arena,hell,604.25,0.3863157894736842
257,argue,disagree,717.5862068965517,0.45
258,argue,it,610.483870967742,0.45
259,argument,disagreement,752.03125,0.4247368421052632
260,argument,spoiled,673.5862068965517,0.4247368421052632
261,aright,fold,721.1935483870968,0.558421052631579
262,aright,okay,576.7741935483871,0.558421052631579
263,armor,chance,606.258064516129,0.4368421052631579
264,armor,knight,567.3870967741935,0.4368421052631579
265,arms,hug,583.09375,0.42263157894736847
266,arms,taste,593.7096774193549,0.42263157894736847
267,army,allow,766.6333333333333,0.5352631578947369
268,army,navy,672.2903225806451,0.5352631578947369
269,aroma,leader,636.2,0.5457894736842106
270,aroma,spaghetti,720.9,0.5457894736842106
271,around,buffalo,724.15625,0.5442105263157895
272,around,world,613.46875,0.5442105263157895
273,arrive,come,609.3870967741935,0.48157894736842105
274,arrive,mail,574.3,0.48157894736842105
275,arrow,bow,643.5,0.4221052631578947
276,arrow,maker,689.3,0.4221052631578947
277,art,cheese,693.125,0.48736842105263156
